focus_share,mean_relative_weight,outcome,checkpoint,object
0.1994,8.4191,PASS,4B,person
0.3211,9.3034,PASS,4B,dining table
0.0996,5.8425,PASS,4B,person
0.1192,4.2317,PASS,4B,car
0.4681,6.7627,FAIL,8B,car
0.339,13.9592,FAIL,8B,handbag
0.2869,10.8339,FAIL,8B,handbag
0.5671,33.0722,FAIL,8B,bottle
0.1958,5.0834,FAIL,8B,car
0.3114,4.2463,FAIL,8B,traffic light
0.4101,11.8054,FAIL,8B,handbag
0.4533,9.814,FAIL,8B,truck
0.4525,9.5651,FAIL,8B,handbag
0.4849,9.249,FAIL,8B,car
0.4035,6.1589,FAIL,8B,bicycle
0.2242,2.8568,FAIL,8B,bear
0.1963,4.3128,FAIL,8B,potted plant
0.3776,7.4748,FAIL,8B,bear
0.2961,3.455,FAIL,8B,handbag
0.3809,4.4341,FAIL,8B,handbag
0.3904,10.0805,FAIL,8B,person
0.1252,3.5895,FAIL,8B,car
0.2532,3.0334,FAIL,8B,dining table
0.1113,4.56,FAIL,8B,car
0.4046,2.6591,FAIL,8B,potted plant
0.2227,3.5498,FAIL,8B,person
0.3689,11.4799,FAIL,8B,person
0.4085,4.3442,FAIL,8B,handbag
0.2974,6.2313,FAIL,8B,backpack
0.2441,5.4226,FAIL,8B,car
0.4441,8.1098,FAIL,8B,handbag
0.2423,7.6519,FAIL,8B,person
0.1289,3.172,FAIL,8B,bowl
0.2369,3.9928,FAIL,8B,car
0.1019,1.8072,FAIL,8B,dining table
0.2551,10.1523,FAIL,8B,car
0.219,6.1342,FAIL,8B,person
0.2298,5.2495,FAIL,8B,dining table
0.4307,3.549,FAIL,8B,person
0.3379,5.6777,FAIL,8B,handbag
0.1766,3.6302,FAIL,8B,car
0.19,5.6428,FAIL,8B,cup
0.3375,7.1211,FAIL,8B,potted plant
0.3196,4.2505,FAIL,8B,backpack
0.1618,3.0407,FAIL,8B,potted plant
0.2609,6.6926,FAIL,8B,handbag
0.3278,7.0853,FAIL,8B,chair
0.2616,5.2005,FAIL,8B,car
0.2316,5.4991,FAIL,8B,person
0.2376,3.3083,FAIL,8B,couch
0.5013,10.0584,FAIL,8B,cup
0.4434,11.4863,FAIL,8B,handbag
0.1803,2.8057,FAIL,8B,car
0.5792,13.9083,FAIL,8B,cup
0.1395,3.0831,PASS,8B,bowl
0.0934,2.2732,PASS,8B,dog
0.3544,5.3357,PASS,8B,couch
0.1976,3.9277,PASS,8B,car
0.1981,1.3924,PASS,8B,handbag
0.1836,0.7759,PASS,8B,dining table
0.1342,1.2849,PASS,8B,person
0.1678,2.4649,PASS,8B,skis
0.2037,1.9049,PASS,8B,cup
0.1481,1.8305,PASS,8B,person
0.3818,6.2868,PASS,8B,handbag
0.1002,0.8087,PASS,8B,car
0.1706,5.4156,PASS,8B,person
0.2153,4.8354,PASS,8B,traffic light
0.3444,9.751,PASS,8B,car
0.1224,1.6543,PASS,8B,dining table
0.2209,3.2744,PASS,8B,bowl
0.0829,1.8576,PASS,8B,person
0.149,0.4478,PASS,8B,car
0.0966,1.5159,PASS,8B,car
0.5368,13.3056,PASS,8B,cup
0.1652,6.9186,PASS,8B,car
0.149,0.934,PASS,8B,dining table
0.1893,4.6934,PASS,8B,person
0.1323,1.2107,PASS,8B,car
0.293,7.5679,PASS,8B,truck
0.2987,3.2477,PASS,8B,bowl
0.2284,2.4141,PASS,8B,person
